username,Chapter,Correct,Incorrect,Total,accuracy
rdm,1,8,0,8,
rdm,2,7,1,8,
rdm,3,17,2,19,0.888888889
rdm,4,17,1,18,0.888888889
rdm,5,17,2,19,0.888888889
rdm,6,17,2,19,0.8
rdm,7,8,2,10,
rdm,8,8,2,10,
rdm,9,7,1,8,
rdm,10,7,0,7,
rdm,11,4,0,4,
rdm,12,4,0,4,
rdm,13,5,1,6,
rdm,14,4,0,4,
rdm,15,4,0,4,
rdm,16,4,0,4,
rdm,17,4,0,4,
rdm,18,6,1,7,
rdm,19,4,0,4,
rdm,20,4,0,4,
rdm,21,5,2,7,
rdm,22,3,1,4,
rdm,23,3,0,3,
rdm,24,3,0,3,
rdm,25,3,0,3,
rdm,26,4,1,5,
rdm,27,6,3,9,
rdm,28,3,0,3,
rdm,29,3,1,4,
rdm,30,4,2,6,
rdm,31,3,1,4,
rdm,32,3,2,5,
rdm,33,3,0,3,
rdm,34,3,1,4,
rdm,35,4,1,5,
rdm,36,3,1,4,
rdm,37,3,0,3,
rdm,38,3,0,3,
rdm,39,3,0,3,
rdm,40,3,0,3,
rdm,41,4,0,4,
rdm,42,3,0,3,
rdm,43,3,0,3,
rdm,44,3,4,7,
rdm,45,3,0,3,
rdm,46,4,0,4,
rdm,47,3,6,9,
rdm,48,4,2,6,
rdm,49,3,0,3,
rdm,50,3,1,4,
rdm,51,3,2,5,
rdm,52,3,0,3,
rdm,53,3,1,4,
rdm,54,3,0,3,
rdm,55,3,1,4,
rdm,56,3,0,3,
rdm,57,3,0,3,
rdm,58,3,0,3,
rdm,59,3,0,3,
rdm,60,4,0,4,
rdm,61,5,0,5,
rdm,62,4,0,4,
rdm,63,4,0,4,
rdm,64,4,1,5,
rdm,65,4,1,5,
rdm,66,4,0,4,
rdm,67,4,1,5,
rdm,68,3,0,3,
rdm,69,3,1,4,
rdm,70,3,2,5,
rdm,71,2,1,3,
rdm,72,2,2,4,
rdm,73,2,0,2,
rdm,74,2,1,3,
rdm,75,2,1,3,
rdm,76,2,0,2,
rdm,77,2,0,2,
rdm,78,2,0,2,
rdm,79,2,0,2,
rdm,80,2,1,3,
rdm,81,1,0,1,
rdm,82,1,0,1,
rdm,83,1,0,1,
rdm,84,1,0,1,
rdm,85,1,1,2,
rdm,86,1,0,1,
rdm,87,1,0,1,
rdm,88,1,0,1,
rdm,89,1,0,1,
rdm,90,2,1,3,
rdm,91,1,0,1,
rdm,92,1,0,1,
rdm,93,1,0,1,
rdm,94,1,0,1,
rdm,95,1,0,1,
rdm,96,1,0,1,
rdm,97,1,0,1,
rdm,98,1,0,1,
rdm,99,1,0,1,
rdm,100,1,0,1,
rdm,101,1,0,1,
rdm,102,1,0,1,
rdm,103,2,0,2,
rdm,104,1,0,1,
rdm,105,1,0,1,
rdm,106,1,1,2,
rdm,107,1,0,1,
rdm,108,1,0,1,
rdm,109,1,0,1,
rdm,110,1,0,1,
rdm,111,1,0,1,
rdm,112,2,0,2,
rdm,113,1,0,1,
rdm,114,1,0,1,
rdm,115,1,1,2,
rdm,116,1,0,1,
rdm,117,1,0,1,
rdm,118,1,0,1,
rdm,119,1,0,1,
rdm,120,1,0,1,
rdm,121,1,0,1,
rdm,122,1,0,1,
rdm,123,1,0,1,
rdm,124,1,0,1,
rdm,125,2,1,3,
rdm,126,1,0,1,
rdm,127,1,0,1,
rdm,128,1,0,1,
rdm,129,1,0,1,
rdm,130,1,0,1,
rdm,131,1,0,1,
rdm,132,1,0,1,
rdm,133,2,0,2,
rdm,134,1,0,1,
rdm,135,1,1,2,
rdm,136,1,0,1,
rdm,137,1,0,1,
rdm,138,1,0,1,
review,1,1,0,1,
review,2,1,0,1,
review,3,1,0,1,
review,4,1,0,1,
review,5,1,0,1,
review,6,1,0,1,
review,17,0,0,0,
review,93,0,0,0,
review,34,0,0,0,
review,115,1,2,3,
review,54,0,0,0,
review,76,0,0,0,
review,107,0,0,0,
review,66,1,1,2,
review,96,1,1,2,
review,88,0,0,0,
review,87,1,0,1,
review,137,0,0,0,
review,33,0,0,0,
review,108,0,0,0,
review,126,0,0,0,
review,46,0,0,0,
review,58,0,0,0,
review,56,0,0,0,
review,116,1,1,2,
review,40,0,0,0,
review,52,0,0,0,
review,35,1,0,1,
review,103,1,0,1,
review,102,0,0,0,
review,11,0,0,0,
review,99,1,1,2,
review,60,0,0,0,
review,134,0,0,0,
review,62,0,0,0,
review,55,0,0,0,
review,101,0,0,0,
review,118,0,0,0,
review,105,1,0,1,
review,44,1,0,1,
review,77,0,0,0,
review,71,0,0,0,
review,84,0,0,0,
review,29,0,0,0,
review,47,0,0,0,
review,41,0,0,0,
review,94,0,0,0,
review,97,1,2,3,
review,90,0,0,0,
review,128,0,0,0,
review,130,0,0,0,
review,14,0,0,0,
review,9,1,0,1,
review,80,1,2,3,
review,110,0,0,0,
review,91,1,1,2,
review,24,1,0,1,
review,18,0,0,0,
review,63,0,0,0,
review,92,0,0,0,
review,20,0,0,0,
review,129,1,1,2,
review,37,0,0,0,
review,53,1,1,2,
review,120,0,0,0,
review,70,1,3,4,
review,12,1,0,1,
review,64,0,0,0,
review,127,0,0,0,
review,104,0,0,0,
review,16,1,0,1,
review,106,0,0,0,
review,82,1,0,1,
review,125,0,0,0,
review,122,0,0,0,
review,15,1,0,1,
review,32,1,0,1,
review,83,0,0,0,
review,51,1,0,1,
review,25,0,0,0,
review,38,1,0,1,
review,74,0,0,0,
review,39,0,0,0,
review,36,0,0,0,
review,86,0,0,0,
review,8,0,0,0,
review,28,1,0,1,
review,26,0,0,0,
review,69,0,0,0,
review,27,0,0,0,
review,111,0,0,0,
review,109,1,0,1,
review,31,0,0,0,
review,19,0,0,0,
review,119,0,0,0,
review,79,1,2,3,
review,21,1,1,2,
review,117,1,1,2,
review,114,0,0,0,
review,30,1,0,1,
review,100,0,0,0,
review,57,1,0,1,
review,7,0,0,0,
review,81,0,0,0,
review,49,0,0,0,
review,13,0,0,0,
review,136,0,0,0,
review,45,0,0,0,
review,113,0,0,0,
review,123,0,0,0,
review,10,0,0,0,
review,135,0,0,0,
review,138,0,0,0,
review,95,0,0,0,
review,131,0,0,0,
review,22,0,0,0,
review,23,0,0,0,
review,124,1,0,1,
review,72,0,0,0,
review,61,1,0,1,
review,43,0,0,0,
review,133,1,0,1,
review,67,0,0,0,
review,85,0,0,0,
review,78,0,0,0,
review,98,1,1,2,
review,75,0,0,0,
review,59,1,0,1,
review,42,0,0,0,
review,68,0,0,0,
review,89,0,0,0,
review,121,0,0,0,
review,73,1,2,3,
review,50,1,0,1,
review,132,0,0,0,
review,65,0,0,0,
review,112,0,0,0,
review,48,1,0,1,
